global_shift,room_id,nurse_id
0,r0,n17
0,r1,n18
0,r2,n18
0,r3,n14
0,r4,n17
0,r6,n16
0,r7,n17
0,r8,n18
1,r0,n12
1,r1,n10
1,r2,n03
1,r3,n03
1,r4,n12
1,r6,n10
1,r7,n03
1,r8,n00
2,r0,n07
2,r1,n07
2,r2,n06
2,r3,n02
2,r4,n02
2,r6,n07
2,r7,n05
2,r8,n01
3,r0,n19
3,r1,n09
3,r2,n19
3,r3,n15
3,r4,n15
3,r5,n16
3,r6,n16
3,r7,n09
3,r8,n09
4,r0,n13
4,r1,n18
4,r2,n10
4,r3,n13
4,r4,n10
4,r5,n18
4,r6,n14
4,r7,n14
4,r8,n18
5,r0,n05
5,r1,n07
5,r2,n03
5,r3,n00
5,r4,n00
5,r5,n00
5,r6,n00
5,r7,n05
5,r8,n00
6,r0,n02
6,r1,n08
6,r2,n08
6,r3,n04
6,r4,n02
6,r5,n04
6,r6,n04
6,r7,n01
6,r8,n02
7,r0,n06
7,r1,n12
7,r2,n15
7,r3,n12
7,r4,n12
7,r5,n11
7,r6,n15
7,r7,n11
7,r8,n15
8,r0,n17
8,r1,n17
8,r2,n05
8,r3,n17
8,r4,n17
8,r5,n17
8,r6,n05
8,r7,n17
8,r8,n17
9,r0,n04
9,r1,n04
9,r2,n04
9,r3,n19
9,r4,n04
9,r5,n04
9,r6,n19
9,r7,n19
9,r8,n19
10,r0,n09
10,r1,n09
10,r2,n09
10,r3,n09
10,r4,n09
10,r5,n09
10,r6,n09
10,r7,n09
10,r8,n09
11,r0,n03
11,r1,n03
11,r2,n03
11,r3,n03
11,r4,n03
11,r5,n03
11,r6,n03
11,r7,n03
11,r8,n03
12,r0,n10
12,r1,n10
12,r2,n10
12,r3,n10
12,r4,n10
12,r5,n10
12,r6,n10
12,r7,n10
12,r8,n10
13,r0,n13
13,r1,n13
13,r2,n07
13,r3,n13
13,r4,n07
13,r5,n07
13,r6,n13
13,r7,n13
13,r8,n07
14,r0,n06
14,r1,n01
14,r2,n01
14,r3,n06
14,r4,n06
14,r5,n01
14,r6,n01
14,r7,n06
14,r8,n01
15,r0,n18
15,r1,n02
15,r2,n14
15,r3,n18
15,r4,n02
15,r5,n18
15,r6,n18
15,r7,n18
15,r8,n02
16,r0,n11
16,r1,n05
16,r2,n05
16,r3,n05
16,r4,n11
16,r5,n05
16,r6,n05
16,r7,n11
16,r8,n05
17,r0,n00
17,r1,n00
17,r2,n00
17,r3,n00
17,r4,n00
17,r5,n00
17,r6,n00
17,r7,n00
17,r8,n00
18,r0,n02
18,r1,n02
18,r2,n02
18,r3,n02
18,r4,n02
18,r5,n02
18,r6,n02
18,r7,n02
18,r8,n02
19,r0,n14
19,r1,n15
19,r2,n15
19,r3,n15
19,r4,n14
19,r5,n14
19,r6,n15
19,r7,n14
19,r8,n15
20,r0,n04
20,r1,n04
20,r2,n04
20,r3,n04
20,r4,n04
20,r5,n04
20,r6,n04
20,r7,n04
20,r8,n04
21,r0,n19
21,r1,n19
21,r2,n20
21,r3,n20
21,r4,n19
21,r5,n19
21,r6,n20
21,r7,n19
21,r8,n20
22,r0,n06
22,r1,n11
22,r2,n11
22,r3,n11
22,r4,n06
22,r5,n11
22,r6,n11
22,r7,n06
22,r8,n06
23,r0,n01
23,r1,n01
23,r2,n01
23,r3,n01
23,r4,n01
23,r5,n01
23,r6,n01
23,r7,n01
23,r8,n01
24,r0,n12
24,r1,n12
24,r2,n12
24,r3,n12
24,r4,n12
24,r5,n12
24,r6,n03
24,r7,n03
24,r8,n03
25,r0,n15
25,r1,n15
25,r2,n15
25,r3,n15
25,r4,n15
25,r5,n15
25,r6,n15
25,r7,n15
25,r8,n15
26,r0,n00
26,r1,n00
26,r2,n07
26,r3,n00
26,r4,n00
26,r5,n07
26,r6,n00
26,r7,n00
26,r8,n00
27,r0,n14
27,r1,n14
27,r2,n14
27,r3,n14
27,r4,n14
27,r7,n14
27,r8,n14
28,r0,n13
28,r1,n17
28,r2,n13
28,r3,n17
28,r4,n17
28,r7,n13
28,r8,n13
29,r0,n19
29,r1,n19
29,r2,n19
29,r3,n19
29,r4,n19
29,r7,n19
29,r8,n19
30,r0,n07
30,r2,n08
30,r3,n07
30,r4,n07
30,r7,n07
30,r8,n08
31,r0,n05
31,r2,n05
31,r3,n05
31,r4,n05
31,r7,n05
31,r8,n05
32,r0,n15
32,r2,n15
32,r3,n15
32,r4,n15
32,r7,n15
32,r8,n15
33,r0,n06
33,r2,n06
33,r3,n06
33,r4,n06
33,r8,n06
34,r0,n08
34,r2,n08
34,r3,n08
34,r4,n08
34,r8,n08
35,r0,n13
35,r2,n13
35,r3,n13
35,r4,n13
35,r8,n13
36,r0,n07
36,r2,n07
36,r3,n07
36,r4,n07
36,r8,n07
37,r0,n16
37,r2,n16
37,r3,n16
37,r4,n16
37,r8,n16
38,r0,n03
38,r2,n03
38,r3,n03
38,r4,n03
38,r8,n03
39,r0,n12
39,r2,n12
40,r0,n16
40,r2,n16
41,r0,n08
41,r2,n08
