global_shift,room_id,nurse_id
0,r2,n04
0,r3,n06
1,r2,n02
1,r3,n02
2,r2,n01
2,r3,n05
3,r0,n06
3,r1,n06
3,r2,n06
3,r3,n04
4,r0,n03
4,r1,n08
4,r2,n08
4,r3,n00
5,r0,n07
5,r1,n07
5,r2,n07
5,r3,n02
6,r0,n04
6,r1,n01
6,r2,n04
6,r3,n04
7,r0,n05
7,r1,n05
7,r2,n00
7,r3,n03
8,r0,n07
8,r1,n07
8,r2,n07
8,r3,n07
9,r0,n02
9,r1,n02
9,r2,n02
9,r3,n08
10,r0,n05
10,r1,n05
10,r2,n00
10,r3,n05
11,r0,n01
11,r1,n01
11,r2,n03
11,r3,n01
12,r0,n06
12,r1,n06
12,r2,n06
12,r3,n06
13,r0,n05
13,r1,n05
13,r2,n05
13,r3,n05
14,r0,n00
14,r1,n00
14,r2,n00
14,r3,n00
15,r0,n03
15,r1,n03
15,r2,n03
15,r3,n03
16,r0,n07
16,r1,n07
16,r2,n07
16,r3,n07
17,r0,n04
17,r1,n04
17,r2,n04
17,r3,n04
18,r0,n01
18,r1,n01
18,r2,n01
18,r3,n01
19,r0,n03
19,r1,n03
19,r2,n03
19,r3,n03
20,r0,n07
20,r1,n07
20,r2,n07
20,r3,n07
21,r0,n08
21,r1,n08
21,r2,n08
21,r3,n08
22,r0,n05
22,r1,n05
22,r2,n05
22,r3,n05
23,r0,n02
23,r1,n02
23,r2,n02
23,r3,n02
24,r0,n06
24,r1,n06
24,r2,n06
24,r3,n06
25,r0,n09
25,r1,n09
25,r2,n09
25,r3,n09
26,r0,n02
26,r1,n02
26,r2,n02
26,r3,n02
27,r0,n04
27,r1,n04
27,r2,n04
27,r3,n04
28,r0,n00
28,r1,n00
28,r2,n00
28,r3,n00
29,r0,n03
29,r1,n03
29,r2,n03
29,r3,n03
30,r0,n02
30,r1,n02
30,r2,n02
30,r3,n02
31,r0,n00
31,r1,n00
31,r2,n00
31,r3,n00
32,r0,n06
32,r1,n06
32,r2,n06
32,r3,n06
33,r0,n01
33,r1,n01
33,r2,n01
33,r3,n01
34,r0,n04
34,r1,n04
34,r2,n04
34,r3,n04
35,r0,n03
35,r1,n03
35,r2,n03
35,r3,n03
36,r0,n06
36,r1,n06
36,r2,n06
36,r3,n06
37,r0,n08
37,r1,n08
37,r2,n08
37,r3,n08
38,r0,n02
38,r1,n02
38,r2,n02
38,r3,n02
39,r0,n01
39,r1,n01
39,r2,n01
39,r3,n01
40,r0,n08
40,r1,n08
40,r2,n08
40,r3,n08
41,r0,n07
41,r1,n07
41,r2,n07
41,r3,n07
